Seller_ERP_ID,Seller_Name,Seller_Phone_Number,Seller_Zone,Seller_Region,Seller_State,Seller_GST,Seller_City,Seller_Type,Buyer_ERP_ID,Buyer_Name,Buyer_Phone_Number,Buyer_Zone,Buyer_Region,Buyer_State,Buyer_City,Beat_Name,Product_ERP_ID,Product_Name,Primary_Category,Manufacturing_Date,Expiry_Date,Total_Invoiced_Super_Unit,Super_Unit,Total_Invoiced_Cases,Total_Invoiced_Pieces,Free_Quantity_in_Pieces,Invoiced_Quantity_all_in_cases,Product_Attribute_1,Net_Value,Freight_Charges,Bill_Date,Invoiced_Total_Quantity
460307,SAWARIYA TRADING 41496,9643430471,NORTH,DELHI,DELHI,07BKWPV1939A1ZQ,WEST DELHI WEST DELHI,SubStockist,FO_DLR0_442525131,BIKANER SWEETS,9582155105,NORTH,DELHI,Delhi,New Delhi,BAWANA INDUSTRIAL AREA (SAWARIYA TRADING 41496),FI002200550396000D,Chips Pudina Treat MRP 20|55 GM*3.96 KG,Western Snacks,00:00.0,00:00.0,3.96,KG,1,0,0,1,Chips,964.3,0,29/04/25,72
460307,SAWARIYA TRADING 41496,9643430471,NORTH,DELHI,DELHI,07BKWPV1939A1ZQ,WEST DELHI WEST DELHI,SubStockist,FO_DLR0_442525131,BIKANER SWEETS,9582155105,NORTH,DELHI,Delhi,New Delhi,BAWANA INDUSTRIAL AREA (SAWARIYA TRADING 41496),FI369100800336000D,Snaclite Finger MRP 20|80 GM*3.36 KG,Western Snacks,00:00.0,00:00.0,3.36,KG,1,0,0,1,Snac Lite,562.51,0,29/04/25,42
460307,SAWARIYA TRADING 41496,9643430471,NORTH,DELHI,DELHI,07BKWPV1939A1ZQ,WEST DELHI WEST DELHI,SubStockist,FO_DLR0_442525131,BIKANER SWEETS,9582155105,NORTH,DELHI,Delhi,New Delhi,BAWANA INDUSTRIAL AREA (SAWARIYA TRADING 41496),FI220800800576000D,Snaclite Soya Katori 80 GM*5.76 KG,Western Snacks,00:00.0,00:00.0,5.76,KG,1,0,0,1,Snac Lite,964.3,0,29/04/25,72
460307,SAWARIYA TRADING 41496,9643430471,NORTH,DELHI,DELHI,07BKWPV1939A1ZQ,WEST DELHI WEST DELHI,SubStockist,FO_DLR0_442483080,KANHA STORW,9599521348,NORTH,DELHI,Delhi,New Delhi,BAWANA INDUSTRIAL AREA (SAWARIYA TRADING 41496),FI008400180216000D,Popcorn Butter MRP 10|18GM*2.16KG,Western Snacks,00:00.0,00:00.0,2.16,KG,1,0,0,1,Popcorn,813.6,0,14/05/25,120
460307,SAWARIYA TRADING 41496,9643430471,NORTH,DELHI,DELHI,07BKWPV1939A1ZQ,WEST DELHI WEST DELHI,SubStockist,DLR00000000279288,Mishra store,9826284054,NORTH,DELHI,Delhi,New Delhi,BAWANA INDUSTRIAL AREA (SAWARIYA TRADING 41496),FD020900180756000D,Chatpata Mixture MRP 5|18GM*7.56KG,Namkeen,00:00.0,00:00.0,7.56,KG,1,0,0,1,Chatpata Mixture,1575,0,27/05/25,420
460307,SAWARIYA TRADING 41496,9643430471,NORTH,DELHI,DELHI,07BKWPV1939A1ZQ,WEST DELHI WEST DELHI,SubStockist,DLR00000000418161,SHAKSHI STORE,9555908248,NORTH,DELHI,Delhi,New Delhi,BAWANA INDUSTRIAL AREA (SAWARIYA TRADING 41496),FD075200400960000D,Punjabi Tadka MRP 10|40GM*9.6KG,Namkeen,00:00.0,00:00.0,9.6,KG,1,0,0,1,Punjabi Tadka,1800,0,24/06/25,240
460307,SAWARIYA TRADING 41496,9643430471,NORTH,DELHI,DELHI,07BKWPV1939A1ZQ,WEST DELHI WEST DELHI,SubStockist,DLR00000000279288,Mishra store,9826284054,NORTH,DELHI,Delhi,New Delhi,BAWANA INDUSTRIAL AREA (SAWARIYA TRADING 41496),FD020900180756000D,Chatpata Mixture MRP 5|18GM*7.56KG,Namkeen,00:00.0,00:00.0,7.56,KG,1,0,0,1,Chatpata Mixture,1575,0,29/04/25,420
460307,SAWARIYA TRADING 41496,9643430471,NORTH,DELHI,DELHI,07BKWPV1939A1ZQ,WEST DELHI WEST DELHI,SubStockist,FO_DLR0_442483080,KANHA STORW,9599521348,NORTH,DELHI,Delhi,New Delhi,BAWANA INDUSTRIAL AREA (SAWARIYA TRADING 41496),FB013402000600000D,Ambarsariya Â Classic Lassi 200 ML*6 KG,Beverages,00:00.0,00:00.0,6,KG,1,0,0,1,Ambarsariya Â Classic Lassi,499.36,0,11/06/25,30
460307,SAWARIYA TRADING 41496,9643430471,NORTH,DELHI,DELHI,07BKWPV1939A1ZQ,WEST DELHI WEST DELHI,SubStockist,FO_DLR0_442483080,KANHA STORW,9599521348,NORTH,DELHI,Delhi,New Delhi,BAWANA INDUSTRIAL AREA (SAWARIYA TRADING 41496),FB075602000600000D,Rajasthani Masala Chaas 200 ML*6 KG,Beverages,00:00.0,00:00.0,6,KG,1,0,0,1,Rajasthani Masala Chaas,374.52,0,11/06/25,30
460307,SAWARIYA TRADING 41496,9643430471,NORTH,DELHI,DELHI,07BKWPV1939A1ZQ,WEST DELHI WEST DELHI,SubStockist,DLR00000000279288,Mishra store,9826284054,NORTH,DELHI,Delhi,New Delhi,BAWANA INDUSTRIAL AREA (SAWARIYA TRADING 41496),FD075200200864000D,Punjabi Tadka 20GM*8.64 KG,Namkeen,00:00.0,00:00.0,8.64,KG,1,0,0,1,Punjabi Tadka,1620,0,29/04/25,432
460307,SAWARIYA TRADING 41496,9643430471,NORTH,DELHI,DELHI,07BKWPV1939A1ZQ,WEST DELHI WEST DELHI,SubStockist,DLR00000000279288,Mishra store,9826284054,NORTH,DELHI,Delhi,New Delhi,BAWANA INDUSTRIAL AREA (SAWARIYA TRADING 41496),FD075200200864000D,Punjabi Tadka 20GM*8.64 KG,Namkeen,00:00.0,00:00.0,8.64,KG,1,0,0,1,Punjabi Tadka,1620,0,03/06/25,432
460307,SAWARIYA TRADING 41496,9643430471,NORTH,DELHI,DELHI,07BKWPV1939A1ZQ,WEST DELHI WEST DELHI,SubStockist,DLR00000000279288,Mishra store,9826284054,NORTH,DELHI,Delhi,New Delhi,BAWANA INDUSTRIAL AREA (SAWARIYA TRADING 41496),FD048300200720000D,Lite Mixture MRP 5|20GM*7.2KG,Namkeen,00:00.0,00:00.0,7.2,KG,1,0,0,1,Lite Mixture,1350,0,29/04/25,360
460307,SAWARIYA TRADING 41496,9643430471,NORTH,DELHI,DELHI,07BKWPV1939A1ZQ,WEST DELHI WEST DELHI,SubStockist,FO_DLR0_442463055,ASTHA STORE,7678293409,NORTH,DELHI,Delhi,New Delhi,BAWANA INDUSTRIAL AREA (SAWARIYA TRADING 41496),FD016600450810000D,Bhavnagri Gathiya MRP 10|45 GM*8.1 KG,Namkeen,00:00.0,00:00.0,8.1,KG,1,0,0,1,Bhavnagri Gathiya,1350,0,24/06/25,180
460307,SAWARIYA TRADING 41496,9643430471,NORTH,DELHI,DELHI,07BKWPV1939A1ZQ,WEST DELHI WEST DELHI,SubStockist,FO_DLR0_442550076,LAXMI STORE,7982298619,NORTH,DELHI,Delhi,New Delhi,BAWANA INDUSTRIAL AREA (SAWARIYA TRADING 41496),FD045900401008000D,KhattaMeetha MRP 10|40GM*10.08KG,Namkeen,00:00.0,00:00.0,10.08,KG,1,0,0,1,Khatta Meetha,1890,0,11/06/25,252
460307,SAWARIYA TRADING 41496,9643430471,NORTH,DELHI,DELHI,07BKWPV1939A1ZQ,WEST DELHI WEST DELHI,SubStockist,DLR00000000279288,Mishra store,9826284054,NORTH,DELHI,Delhi,New Delhi,BAWANA INDUSTRIAL AREA (SAWARIYA TRADING 41496),FD061700201008000D,Navratan Mix MRP 5|20 GM*10.08 KG,Namkeen,00:00.0,00:00.0,10.08,KG,1,0,0,1,Navratan Mix,1890,0,27/04/25,504
460307,SAWARIYA TRADING 41496,9643430471,NORTH,DELHI,DELHI,07BKWPV1939A1ZQ,WEST DELHI WEST DELHI,SubStockist,DLR00000000279288,Mishra store,9826284054,NORTH,DELHI,Delhi,New Delhi,BAWANA INDUSTRIAL AREA (SAWARIYA TRADING 41496),FD045900201008000D,Khatta Meetha MRP 5|20 GM*10.08 KG,Namkeen,00:00.0,00:00.0,10.08,KG,1,0,0,1,Khatta Meetha,1890,0,27/04/25,504
